district,chamber,indicator,value,topic,type,format,pad,id
State Senate District 14,Senate,Good place to raise kids,0.802,Community vitality,map,.0%,014,610U500US09014
State Senate District 15,Senate,Good place to raise kids,0.464,Community vitality,map,.0%,015,610U500US09015
State Senate District 16,Senate,Good place to raise kids,0.717,Community vitality,map,.0%,016,610U500US09016
State Senate District 17,Senate,Good place to raise kids,0.651,Community vitality,map,.0%,017,610U500US09017
State Senate District 18,Senate,Good place to raise kids,0.798,Community vitality,map,.0%,018,610U500US09018
State Senate District 19,Senate,Good place to raise kids,0.736,Community vitality,map,.0%,019,610U500US09019
State Senate District 20,Senate,Good place to raise kids,0.768,Community vitality,map,.0%,020,610U500US09020
State Senate District 21,Senate,Good place to raise kids,0.811,Community vitality,map,.0%,021,610U500US09021
State Senate District 22,Senate,Good place to raise kids,0.598,Community vitality,map,.0%,022,610U500US09022
State Senate District 23,Senate,Good place to raise kids,0.327,Community vitality,map,.0%,023,610U500US09023
State Senate District 24,Senate,Good place to raise kids,0.802,Community vitality,map,.0%,024,610U500US09024
State Senate District 25,Senate,Good place to raise kids,0.766,Community vitality,map,.0%,025,610U500US09025
State Senate District 26,Senate,Good place to raise kids,0.97,Community vitality,map,.0%,026,610U500US09026
State Senate District 27,Senate,Good place to raise kids,0.765,Community vitality,map,.0%,027,610U500US09027
State Senate District 28,Senate,Good place to raise kids,0.944,Community vitality,map,.0%,028,610U500US09028
State Senate District 29,Senate,Good place to raise kids,0.729,Community vitality,map,.0%,029,610U500US09029
State Senate District 30,Senate,Good place to raise kids,0.764,Community vitality,map,.0%,030,610U500US09030
State Senate District 31,Senate,Good place to raise kids,0.675,Community vitality,map,.0%,031,610U500US09031
State Senate District 32,Senate,Good place to raise kids,0.911,Community vitality,map,.0%,032,610U500US09032
State Senate District 33,Senate,Good place to raise kids,0.874,Community vitality,map,.0%,033,610U500US09033
State Senate District 34,Senate,Good place to raise kids,0.773,Community vitality,map,.0%,034,610U500US09034
State Senate District 35,Senate,Good place to raise kids,0.837,Community vitality,map,.0%,035,610U500US09035
State Senate District 36,Senate,Good place to raise kids,0.897,Community vitality,map,.0%,036,610U500US09036
Connecticut,State,Good place to raise kids,0.74,Community vitality,map,.0%,,Connecticut
State Senate District 1,Senate,Have some influence over local government,0.629,Community vitality,map,.0%,001,610U500US09001
State Senate District 2,Senate,Have some influence over local government,0.652,Community vitality,map,.0%,002,610U500US09002
State Senate District 3,Senate,Have some influence over local government,0.546,Community vitality,map,.0%,003,610U500US09003
State Senate District 4,Senate,Have some influence over local government,0.583,Community vitality,map,.0%,004,610U500US09004
State Senate District 5,Senate,Have some influence over local government,0.749,Community vitality,map,.0%,005,610U500US09005
State Senate District 6,Senate,Have some influence over local government,0.58,Community vitality,map,.0%,006,610U500US09006
State Senate District 7,Senate,Have some influence over local government,0.638,Community vitality,map,.0%,007,610U500US09007
State Senate District 8,Senate,Have some influence over local government,0.691,Community vitality,map,.0%,008,610U500US09008
State Senate District 9,Senate,Have some influence over local government,0.668,Community vitality,map,.0%,009,610U500US09009
State Senate District 10,Senate,Have some influence over local government,0.626,Community vitality,map,.0%,010,610U500US09010
State Senate District 11,Senate,Have some influence over local government,0.633,Community vitality,map,.0%,011,610U500US09011
State Senate District 12,Senate,Have some influence over local government,0.643,Community vitality,map,.0%,012,610U500US09012
State Senate District 13,Senate,Have some influence over local government,0.554,Community vitality,map,.0%,013,610U500US09013
State Senate District 14,Senate,Have some influence over local government,0.618,Community vitality,map,.0%,014,610U500US09014
State Senate District 15,Senate,Have some influence over local government,0.516,Community vitality,map,.0%,015,610U500US09015
State Senate District 16,Senate,Have some influence over local government,0.597,Community vitality,map,.0%,016,610U500US09016
State Senate District 17,Senate,Have some influence over local government,0.573,Community vitality,map,.0%,017,610U500US09017
State Senate District 18,Senate,Have some influence over local government,0.658,Community vitality,map,.0%,018,610U500US09018
State Senate District 19,Senate,Have some influence over local government,0.606,Community vitality,map,.0%,019,610U500US09019
State Senate District 20,Senate,Have some influence over local government,0.623,Community vitality,map,.0%,020,610U500US09020
State Senate District 21,Senate,Have some influence over local government,0.61,Community vitality,map,.0%,021,610U500US09021
State Senate District 22,Senate,Have some influence over local government,0.607,Community vitality,map,.0%,022,610U500US09022
State Senate District 23,Senate,Have some influence over local government,0.569,Community vitality,map,.0%,023,610U500US09023
State Senate District 24,Senate,Have some influence over local government,0.648,Community vitality,map,.0%,024,610U500US09024
State Senate District 25,Senate,Have some influence over local government,0.635,Community vitality,map,.0%,025,610U500US09025
State Senate District 26,Senate,Have some influence over local government,0.764,Community vitality,map,.0%,026,610U500US09026
State Senate District 27,Senate,Have some influence over local government,0.573,Community vitality,map,.0%,027,610U500US09027
State Senate District 28,Senate,Have some influence over local government,0.709,Community vitality,map,.0%,028,610U500US09028
State Senate District 29,Senate,Have some influence over local government,0.681,Community vitality,map,.0%,029,610U500US09029
State Senate District 30,Senate,Have some influence over local government,0.643,Community vitality,map,.0%,030,610U500US09030
State Senate District 31,Senate,Have some influence over local government,0.565,Community vitality,map,.0%,031,610U500US09031
State Senate District 32,Senate,Have some influence over local government,0.658,Community vitality,map,.0%,032,610U500US09032
State Senate District 33,Senate,Have some influence over local government,0.615,Community vitality,map,.0%,033,610U500US09033
State Senate District 34,Senate,Have some influence over local government,0.622,Community vitality,map,.0%,034,610U500US09034
State Senate District 35,Senate,Have some influence over local government,0.657,Community vitality,map,.0%,035,610U500US09035
State Senate District 36,Senate,Have some influence over local government,0.685,Community vitality,map,.0%,036,610U500US09036
Connecticut,State,Have some influence over local government,0.629,Community vitality,map,.0%,,Connecticut
State Senate District 1,Senate,Food insecurity,0.258,Economic security,map,.0%,001,610U500US09001
State Senate District 2,Senate,Food insecurity,0.261,Economic security,map,.0%,002,610U500US09002
State Senate District 3,Senate,Food insecurity,0.079,Economic security,map,.0%,003,610U500US09003
State Senate District 4,Senate,Food insecurity,0.0913,Economic security,map,.0%,004,610U500US09004
State Senate District 5,Senate,Food insecurity,0.0541,Economic security,map,.0%,005,610U500US09005
State Senate District 6,Senate,Food insecurity,0.207,Economic security,map,.0%,006,610U500US09006
State Senate District 7,Senate,Food insecurity,0.133,Economic security,map,.0%,007,610U500US09007
State Senate District 8,Senate,Food insecurity,0.0777,Economic security,map,.0%,008,610U500US09008
State Senate District 9,Senate,Food insecurity,0.0775,Economic security,map,.0%,009,610U500US09009
State Senate District 10,Senate,Food insecurity,0.204,Economic security,map,.0%,010,610U500US09010
State Senate District 11,Senate,Food insecurity,0.154,Economic security,map,.0%,011,610U500US09011
State Senate District 12,Senate,Food insecurity,0.0308,Economic security,map,.0%,012,610U500US09012
State Senate District 13,Senate,Food insecurity,0.177,Economic security,map,.0%,013,610U500US09013
State Senate District 14,Senate,Food insecurity,0.159,Economic security,map,.0%,014,610U500US09014
State Senate District 15,Senate,Food insecurity,0.18,Economic security,map,.0%,015,610U500US09015
State Senate District 16,Senate,Food insecurity,0.119,Economic security,map,.0%,016,610U500US09016
State Senate District 17,Senate,Food insecurity,0.151,Economic security,map,.0%,017,610U500US09017
State Senate District 18,Senate,Food insecurity,0.142,Economic security,map,.0%,018,610U500US09018
State Senate District 19,Senate,Food insecurity,0.142,Economic security,map,.0%,019,610U500US09019
State Senate District 20,Senate,Food insecurity,0.112,Economic security,map,.0%,020,610U500US09020
State Senate District 21,Senate,Food insecurity,0.121,Economic security,map,.0%,021,610U500US09021
State Senate District 22,Senate,Food insecurity,0.168,Economic security,map,.0%,022,610U500US09022
State Senate District 23,Senate,Food insecurity,0.263,Economic security,map,.0%,023,610U500US09023
State Senate District 24,Senate,Food insecurity,0.0863,Economic security,map,.0%,024,610U500US09024
State Senate District 25,Senate,Food insecurity,0.097,Economic security,map,.0%,025,610U500US09025
State Senate District 26,Senate,Food insecurity,0.0152,Economic security,map,.0%,026,610U500US09026
State Senate District 27,Senate,Food insecurity,0.0989,Economic security,map,.0%,027,610U500US09027
State Senate District 28,Senate,Food insecurity,0.0511,Economic security,map,.0%,028,610U500US09028
State Senate District 29,Senate,Food insecurity,0.174,Economic security,map,.0%,029,610U500US09029
State Senate District 30,Senate,Food insecurity,0.0938,Economic security,map,.0%,030,610U500US09030
State Senate District 31,Senate,Food insecurity,0.141,Economic security,map,.0%,031,610U500US09031
State Senate District 32,Senate,Food insecurity,0.0599,Economic security,map,.0%,032,610U500US09032
State Senate District 33,Senate,Food insecurity,0.0711,Economic security,map,.0%,033,610U500US09033
State Senate District 34,Senate,Food insecurity,0.119,Economic security,map,.0%,034,610U500US09034
State Senate District 35,Senate,Food insecurity,0.0988,Economic security,map,.0%,035,610U500US09035
State Senate District 36,Senate,Food insecurity,0.06,Economic security,map,.0%,036,610U500US09036
Connecticut,State,Food insecurity,0.124,Economic security,map,.0%,,Connecticut
State Senate District 1,Senate,Financial insecurity,0.442,Economic security,map,.0%,001,610U500US09001
State Senate District 2,Senate,Financial insecurity,0.467,Economic security,map,.0%,002,610U500US09002
State Senate District 3,Senate,Financial insecurity,0.328,Economic security,map,.0%,003,610U500US09003
State Senate District 4,Senate,Financial insecurity,0.293,Economic security,map,.0%,004,610U500US09004
State Senate District 5,Senate,Financial insecurity,0.237,Economic security,map,.0%,005,610U500US09005
